"CODE","NAME_KZ","NAME_RU"
"111501","Басқа секторлардан және ""басқа дүниеден"" алынған ағымдағы трансферттер","Текущие трансферты, полученные от других секторов и  от ""остального мира"""
"11150101","алынған табыс салығы","подоходный налог, полученный"
"11150102","алынған әлеуметтік сақтандыруға аударымдар","отчисления на социальное страхование, полученные"
"11150103","табиғи нысандағы әлеуметтік трансферттерден басқа алынған әлеуметтік жәрдемақылар","социальные пособия, кроме социальных трансфертов в натуральной форме, полученные"
"11150104","алынған сақтандыру сыйақылары","страховые премии, полученные"
"11150105","алынған сақтандыру өтемақылары","страховые возмещения, полученные"
"11150106","басқа да алынған ағымдағы трансферттер","другие текущие трансферты, полученные"
"1115010601","""басқа дүниеден"" алынған ағымдағы трансферттер","текущие трансферты, полученные от ""остального мира"""
"11150107","алынған айыппұлдар","штрафы, полученные"
"111502","басқа секторларға және ""басқа дүниеге"" берілген ағымдағы трасферттер","текущие трансферты, переданные другим секторам и ""остальному миру"""
"11150201","берілген табыс салығы","подоходный налог, переданный"
"11150202","берілген әлеуметтік сақтандыруға аударымдар","отчисления на социальное страхование, переданные"
"11150203","табиғи нысандағы әлеуметтік трансферттерден басқа берілген әлеуметтік жәрдемақылар","социальные пособия, кроме социальных трансфертов в натуральной форме, переданные"
"11150204","берілген сақтандыру сыйақылары","страховые премии, переданные"
"11150205","берілген сақтандыру өтемақылары","страховые возмещения, переданные"
"11150206","басқа да берілген ағымдағы трансферттер","другие текущие трансферты, переданные"
"1115020601","""басқа дүниеге"" берілген ағымдағы трансферттер","текущие трансферты, переданные ""остальному миру"""
"11150207","берілген айыппұлдар","штрафы, переданные"
"111503","Қолда бар жалпы табыс","Валовой располагаемый доход"
"111504","Қолда бар таза табыс","Чистый располагаемый доход"
"111601","Заттай нысандағы әлеуметтік трансферттер","Социальные трансферты в натуральной форме"
"111601","Заттай нысандағы әлеуметтік трансферттер ресурстар жағында","Социальные трансферты в натуральной форме на стороне ресурсов"
"111602","Түзетілген қолда бар табыс","Скорректированный располагаемый доход"
"111603","Заттай нысандағы әлеуметтік трансферттер пайдалану жағында","Социальные трансферты в натуральной форме на стороне использования"
"111701","Қолда бар табысты пайдалану шотындағы түпкілікті тұтынуға жұмсалған шығыстар","Расходы на конечное потребление в счете использования располагаемого дохода"
"11170101","қолда бар табысты пайдалану шотындағы үй шаруашылықтарының түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление домашних хозяйств в счете использования располагаемого дохода"
"11170102","қолда бар табысты пайдалану шотындағы мемлекеттік басқару органдарының түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление органов государственного управления в счете использования располагаемого дохода"
"111701021","қолда бар табысты пайдалану шотындағы жеке тауарлар мен қызметтерге жұмсалған шығыстар","расходы на индивидуальные товары и услуги в счете использования располагаемого дохода"
"111701022","қолда бар табысты пайдалану шотындағы ұжымдық қызметтерге жұмсалған шығыстар","расходы на коллективные услуги в счете использования располагаемого дохода"
"11170103","қолда бар табысты пайдалану шотындағы үй шаруашылықтарына қызмет көрсететін коммерциялық емес ұйымдардың түпкілікті тұтынуға жұмсаған шығыстары","расходы на конечное потребление некоммерческих организаций, обслуживающих домашние хозяйства, в счете использования располагаемого дохода"
"111702","Қолда бар табысты пайдалану шотындағы жалпы қорланым","Валовое сбережение в счете использования располагаемого дохода"
"111703","Қолда бар табысты пайдалану шотындағы таза жинақталым","Чистое сбережение в счете использования располагаемого дохода"
"111704","Түпкілікті тұтыну әдісімен жалпы ішкі өнім","Валовой внутренний продукт методом конечного использования"
"111705","Статистикалық алшақтық","Статистическое расхождение"
"111706","Үй шаруашылықтарының зейнетақы қорларындағы активтерінің таза құнының өзгеруіне түзету жасау","Корректировка на изменение чистой стоимости активов в пенсионных фондах домашних хозяйств"
"111801","Түпкілікті тұтыну әдісімен жалпы өнімнің нақты көлем индексі","Индекс физического объема валового внутреннего продукта методом конечного использования"
