date,total_loans,overdue_90_plus,npl_ratio_90plus,source,year
2022-02-01,20045.8613603667,1356.9381703353702,6.76916868744894,89185.bin,2022
2022-03-01,20301.4203471446,1369.77796135475,6.747202599287131,89185.bin,2022
2022-04-01,20447.7991907024,1340.86946145028,6.557524596876781,89185.bin,2022
2022-05-01,20320.5181403485,1333.23892534253,6.56104788339645,89185.bin,2022
2022-06-01,20649.3620311868,1423.0814145950899,6.8916483349258,89185.bin,2022
2022-07-01,21305.5960212272,1551.2787446280101,7.281085885053081,89185.bin,2022
2022-08-01,21545.63170158,1526.06940712504,7.082964325493089,89185.bin,2022
2022-09-01,21791.8760298886,1517.85163107641,6.96521781325572,89185.bin,2022
2022-10-01,22300.4711006053,1478.3110135051702,6.629057327246509,89185.bin,2022
2022-11-01,22712.8254513304,1536.63596544695,6.76549894129065,89185.bin,2022
2022-12-01,23471.675060570098,1550.9614376965799,6.6078003964107195,89185.bin,2022
2023-02-01,24141.41218,1323.79663,5.48,97815.bin,2023
2023-03-01,24280.457874,1287.561814,5.3,97815.bin,2023
2023-04-01,24621.763321,1382.398948,5.609999999999999,97815.bin,2023
2023-05-01,25169.165163,1502.449455,5.970000000000001,97815.bin,2023
2023-06-01,25548.072208,1501.130622,5.88,97815.bin,2023
2023-07-01,25893.324059,1373.179888,5.3,97815.bin,2023
2023-08-01,26386.475237,1434.22888,5.4399999999999995,97815.bin,2023
2023-09-01,26846.222503,1525.328973,5.680000000000001,97815.bin,2023
2023-10-01,27693.954341,1399.569558,5.050000000000001,97815.bin,2023
2023-11-01,28030.869458,1433.037917,5.11,97815.bin,2023
2023-12-01,28641.941945,1394.105825,4.87,97815.bin,2023
2024-01-01,29853.7103849805,863.81186309929,2.8934824246632895,2024_processed,2024
2024-02-01,29415.2,888.0,3.0188473986238407,2024_processed,2024
2024-03-01,30168.4,906.4,3.004468251547977,2024_processed,2024
2024-04-01,30282.9,928.7,3.0667472401916593,2024_processed,2024
2024-05-01,30723.0,958.6,3.1201380073560525,2024_processed,2024
2024-06-01,31244.9,1000.0,3.2005223252434796,2024_processed,2024
2024-07-01,31967.1,987.7,3.0897391380513093,2024_processed,2024
2024-08-01,32462.416606681894,1019.54151947097,3.140682752685494,2024_processed,2024
2024-09-01,33024.4,1039.8,3.1485810491636483,2024_processed,2024
2024-10-01,33359.9,1074.4,3.220633155375166,2024_processed,2024
2024-11-01,33755.1897029155,1097.09698201508,3.250157951031517,2024_processed,2024
2024-12-01,34997.8445906646,1125.7048885876002,3.21649776365906,2024_processed,2024
